,Lowest Values,Run Times (s)
0,"[5.986 5.986 5.986 5.601 5.601 5.601 5.601 5.601 5.601 5.601 4.521 4.521
 4.521 4.521 4.521 4.521 4.521 4.521 4.521 4.521 4.521 4.521 4.521 4.424
 4.424 3.956 3.956 3.956 3.956 3.956 3.956 3.956 3.956 3.956 3.956 3.295
 2.859 2.859 2.859 2.859 2.859 2.859 2.859 2.859 2.859 2.859 2.859 2.859
 2.859 2.859 2.859 2.859 2.605 2.605 2.605 2.605 1.951 1.951 1.951 1.951
 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951
 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951 1.951
 1.809 1.809 1.793 1.793 1.793 1.793 1.793 1.793 1.793 1.793 1.793 1.793
 1.793 1.793 1.793 1.732 1.732 1.732 1.732 1.732 1.732 1.678 1.678 1.678
 1.678 1.678 1.678 1.678 1.678 1.509 1.509 1.509 1.509 1.509 1.509 1.509
 1.509 1.509 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424
 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424 1.424
 1.424 1.424 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406
 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406
 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406
 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406 1.406
 1.406 1.406 1.406 1.406]",103.48201131820679
1,"[6.856 6.856 6.856 6.434 6.434 6.011 6.011 6.011 6.011 6.011 6.011 6.011
 6.011 6.011 6.011 6.011 6.011 6.011 5.472 5.472 5.472 5.472 5.269 5.269
 5.269 5.269 5.269 5.269 5.269 4.952 4.952 4.952 4.952 4.72  4.72  4.72
 4.72  4.72  4.72  4.72  4.675 4.675 4.675 4.675 4.675 3.968 3.968 3.968
 3.968 3.557 3.557 3.557 3.557 3.521 3.521 3.521 3.521 3.348 3.348 3.348
 3.348 3.348 3.348 3.348 3.21  3.013 3.013 3.013 3.013 3.013 3.013 3.013
 3.013 3.013 3.013 3.013 3.013 3.013 3.013 3.013 3.013 3.013 3.013 3.013
 2.926 2.926 2.926 2.926 2.926 2.926 2.926 2.926 2.926 2.926 2.926 2.926
 2.926 2.926 2.926 2.926 2.918 2.918 2.918 2.91  2.91  2.91  2.865 2.865
 2.865 2.865 2.865 2.816 2.816 2.816 2.816 2.816 2.791 2.791 2.791 2.791
 2.791 2.727 2.723 2.723 2.723 2.723 2.723 2.723 2.723 2.723 2.723 2.723
 2.723 2.723 2.723 2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63
 2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63
 2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63
 2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63  2.63
 2.63  2.63  2.63  2.63  2.63 ]",105.52041411399841
2,"[6.128 6.128 6.128 6.128 6.128 6.128 5.741 5.741 5.741 5.741 5.741 5.741
 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436
 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436 4.436
 4.436 4.436 4.436 4.436 4.19  4.19  4.19  4.19  4.19  4.19  3.895 3.895
 3.698 3.698 3.698 3.698 3.698 3.698 3.698 3.698 3.698 3.698 3.698 3.698
 3.698 3.698 3.698 3.698 3.698 3.698 3.345 3.345 3.345 3.345 3.345 3.345
 3.337 3.337 3.063 3.063 3.063 3.063 3.063 3.063 3.063 3.063 3.063 3.063
 3.063 2.916 2.916 2.598 2.598 2.598 2.598 2.598 2.598 2.598 2.598 2.598
 2.598 2.598 2.598 2.598 2.598 2.598 2.598 2.424 2.424 2.424 2.335 2.335
 2.335 2.335 2.335 2.335 2.335 2.335 2.335 2.082 2.082 1.916 1.916 1.916
 1.916 1.916 1.916 1.916 1.916 1.916 1.916 1.916 1.916 1.805 1.805 1.805
 1.805 1.805 1.805 1.805 1.805 1.78  1.78  1.618 1.618 1.618 1.618 1.618
 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618
 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618 1.618
 1.618 1.618 1.618 1.618 1.598 1.598 1.598 1.598 1.598 1.598 1.598 1.598
 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558
 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558
 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558
 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558
 1.558 1.558]",103.4025126
3,"[5.946 5.946 5.946 5.946 5.665 5.589 5.589 5.589 5.589 5.589 5.589 5.589
 5.589 5.589 5.589 5.437 4.661 4.661 4.661 4.661 4.261 4.261 4.261 4.261
 4.261 4.261 4.261 4.261 4.261 4.261 4.261 4.261 4.261 4.261 3.374 3.374
 3.374 3.374 3.374 3.374 3.374 3.374 3.374 3.374 3.019 3.019 3.019 3.019
 3.019 3.019 3.019 3.019 2.679 2.679 1.913 1.913 1.913 1.913 1.913 1.913
 1.913 1.913 1.913 1.913 1.913 1.913 1.913 1.913 1.913 1.913 1.913 1.913
 1.913 1.913 1.89  1.89  1.89  1.89  1.89  1.89  1.89  1.89  1.89  1.89
 1.89  1.89  1.89  1.89  1.89  1.89  1.89  1.89  1.89  1.834 1.834 1.773
 1.707 1.705 1.705 1.705 1.615 1.615 1.615 1.615 1.615 1.615 1.548 1.548
 1.548 1.548 1.514 1.514 1.514 1.514 1.514 1.514 1.514 1.514 1.514 1.514
 1.514 1.514 1.514 1.514 1.466 1.466 1.466 1.466 1.466 1.466 1.466 1.466
 1.466 1.466 1.466 1.466 1.466 1.466 1.466 1.466 1.466 1.466 1.466 1.466
 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464]",103.37693047523499
4,"[4.221 4.221 4.221 4.221 4.221 4.221 4.221 4.221 4.221 4.221 4.221 4.221
 4.221 4.221 4.077 4.077 3.68  3.68  3.68  3.68  3.68  3.68  3.68  3.642
 3.642 3.642 3.431 3.431 3.431 3.431 3.431 3.431 3.427 3.427 3.427 3.365
 3.365 3.365 3.365 3.331 3.331 3.331 3.245 3.245 3.14  3.14  3.14  3.14
 3.14  3.14  3.138 3.138 3.097 3.097 3.097 3.097 3.097 3.097 3.097 2.936
 2.936 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641
 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641
 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.641 2.572 2.572
 2.572 2.572 2.572 2.572 2.572 2.572 2.45  2.45  2.424 2.424 2.424 2.424
 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424
 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424
 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424
 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424 2.424]",85.56654906272888
5,"[4.863 4.863 4.863 4.863 4.863 4.863 4.863 4.863 4.863 4.863 4.863 4.863
 4.863 4.863 4.863 3.426 3.426 3.426 3.426 3.426 3.426 3.426 3.426 3.426
 3.426 3.426 3.426 3.426 3.333 3.282 3.282 3.282 3.282 3.282 2.893 2.893
 2.893 2.893 2.893 2.893 2.893 2.893 2.554 2.554 1.928 1.928 1.928 1.928
 1.928 1.928 1.928 1.928 1.928 1.928 1.928 1.928 1.928 1.928 1.928 1.928
 1.928 1.928 1.928 1.884 1.884 1.884 1.884 1.884 1.739 1.669 1.669 1.669
 1.669 1.669 1.669 1.669 1.669 1.669 1.517 1.517 1.517 1.517 1.517 1.517
 1.517 1.517 1.517 1.517 1.468 1.468 1.468 1.468 1.368 1.368 1.368 1.353
 1.353 1.353 1.353 1.305 1.305 1.305 1.305 1.305 1.305 1.305 1.305 1.293
 1.243 1.243 1.243 1.243 1.243 1.243 1.243 1.243 1.243 1.243 1.243 1.243
 1.243 1.243 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176
 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176 1.176
 1.176 1.176 1.176 1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17
 1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17
 1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17
 1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.17  1.15  1.15
 1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15
 1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15
 1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15
 1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15  1.15 ]",134.77814388275146
6,"[4.529 4.529 4.529 4.529 4.529 4.529 4.529 4.529 4.529 4.529 4.529 4.529
 4.529 4.457 4.457 4.457 4.457 4.457 4.457 4.055 4.055 4.055 4.055 4.055
 4.055 4.055 4.055 4.055 4.055 4.055 3.997 3.952 3.952 3.952 3.377 3.377
 3.377 3.377 3.377 3.377 3.377 3.377 3.377 3.377 3.377 3.377 3.377 3.28
 3.28  3.28  3.28  3.28  3.28  3.28  3.28  3.28  3.28  3.28  3.28  3.271
 3.271 3.271 3.248 3.248 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921
 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921
 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921
 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921 2.921
 2.921 2.921 2.921 2.921 2.921 2.921]",58.323970794677734
7,"[6.062 6.062 6.062 4.777 4.777 4.777 4.777 4.777 4.777 4.777 4.777 4.308
 4.308 4.308 4.308 4.308 4.308 4.308 3.854 3.854 3.854 3.854 3.854 3.854
 3.854 3.854 3.854 3.854 3.854 3.12  3.12  3.12  3.12  3.12  3.12  3.12
 3.12  3.12  3.12  3.12  3.12  3.12  3.12  3.12  3.12  3.12  3.12  3.12
 3.12  3.12  3.12  3.12  3.12  3.12  3.12  3.044 3.044 3.044 3.044 3.044
 3.044 3.044 3.044 3.044 3.044 3.044 2.658 2.658 2.658 2.658 2.658 2.658
 2.658 2.658 2.658 2.658 2.658 2.658 2.658 2.658 2.658 2.658 2.658 2.658
 2.632 2.441 2.441 2.441 2.428 2.428 2.428 2.428 2.428 2.428 2.428 2.428
 2.428 2.428 2.289 2.289 2.289 2.127 2.127 2.127 2.089 2.089 2.089 2.089
 2.089 2.089 2.089 2.089 2.023 2.023 2.023 2.023 2.023 1.991 1.991 1.991
 1.991 1.991 1.991 1.991 1.922 1.919 1.771 1.771 1.771 1.771 1.771 1.771
 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771
 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771
 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771
 1.771 1.771 1.771 1.771 1.771 1.771 1.771 1.771]",103.3850314617157
8,"[5.211 5.211 5.211 5.211 5.211 5.211 5.211 5.211 5.211 5.211 3.431 3.431
 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902
 2.558 2.558 2.558 2.558 2.558 2.558 2.558 2.558 2.558 2.558 1.921 1.921
 1.921 1.921 1.921 1.921 1.921 1.921 1.921 1.789 1.789 1.789 1.789 1.764
 1.764 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109
 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.09  1.09  1.09  1.09  1.09
 1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09
 1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.054 1.007 1.007 1.007 1.007
 1.007 1.007 0.995 0.995 0.995 0.995 0.995 0.995 0.995 0.995 0.995 0.967
 0.967 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776]",79.36922144889832
9,"[5.905 5.905 5.905 5.905 5.905 5.414 5.414 5.414 5.414 5.414 5.414 5.414
 5.414 5.319 4.141 4.141 4.141 4.141 4.141 4.141 4.065 4.065 4.065 3.609
 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609
 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.356 3.356 3.356 3.356 3.356
 3.356 3.356 3.266 3.266 3.266 3.266 3.266 3.266 3.266 3.266 3.266 3.266
 3.266 3.266 3.221 3.221 3.174 3.126 3.126 3.126 3.09  3.09  3.09  3.09
 3.052 3.052 2.934 2.934 2.934 2.934 2.934 2.934 2.17  2.17  2.17  2.17
 2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17
 2.068 2.068 2.068 2.068 2.068 2.068 2.068 2.043 2.043 1.811 1.811 1.811
 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811
 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811
 1.811 1.811 1.651 1.651 1.651 1.651 1.651 1.651 1.651 1.651 1.651 1.651
 1.651 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605
 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605
 1.605 1.605 1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6
 1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6
 1.6   1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599
 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599
 1.599 1.599 1.599 1.599]",102.18518614768982
